dataset,method,user,system,elapsed
mgus2,xgb1,3.5,0.129999999999995,3.6299999999992
mgus2,xgb2,3.55999999999949,0.110000000000014,3.77000000000044
mgus2,xgb3,3.61999999999898,0.300000000000011,3.8700000000008
mgus2,glm,0.0300000000006548,0,0.0200000000004366
mgus2,gam,0.440000000000509,0.0899999999999892,0.520000000000437
mgus2,hal2,42.7699999999986,0.310000000000002,43.4200000000001
mgus2,hal3,118.09,1.38000000000001,121.57
mgus2,psl,644.16,13.71,669.83
mgus2,cox,0.02,0,0
mgus2,rfsrc,5.3,0.05,5.39
rotterdam,xgb1,22.81,0.42,23.7
rotterdam,xgb2,15.3299999999999,0.300000000000011,15.9099999999999
rotterdam,xgb3,19.130000000001,0.489999999999995,19.9499999999989
rotterdam,glm,0.069999999999709,0,0.0599999999994907
rotterdam,gam,3.88999999999942,0.189999999999998,4.11000000000058
rotterdam,hal2,102.56,0.810000000000001,104.65
rotterdam,hal3,128.97,1.44,132.39
rotterdam,psl,9549.19,64.58,9756.11
rotterdam,cox,0.0299999999999998,0,0.0300000000000003
rotterdam,rfsrc,14.27,0.14,14.61
pbc,xgb1,1.38000000000102,0.0799999999999983,1.46999999999935
pbc,xgb2,4.09000000000015,0.310000000000002,4.57999999999993
pbc,xgb3,5.93999999999869,0.469999999999999,6.44000000000051
pbc,glm,0.110000000000582,0.019999999999996,0.109999999998763
pbc,gam,0.25,0.0100000000000051,0.25
pbc,hal2,8.79000000000087,0.0700000000000074,8.92999999999847
pbc,hal3,7.96999999999935,0.0799999999999983,8.10000000000036
pbc,psl,383.66,16.33,405.030000000001
pbc,cox,0.02,0,0
pbc,rfsrc,0.469999999999999,0.0199999999999998,0.5
