dataset,model,maximum_time,integrated_brier_score
mgus2,Null model,264,0.177791564842397
mgus2,cox_bmk,264,0.145537639410184
mgus2,rfsrc_bmk,264,0.140320923958352
mgus2,psl,264,0.140038931734228
mgus2,discrete_psl,264,0.140962028271
mgus2,glm,264,0.145596419361002
mgus2,gam,264,0.142110940460626
mgus2,xgb1,264,0.140999630226203
mgus2,xgb2,264,0.143103531892825
mgus2,xgb3,264,0.149525222446185
mgus2,hal2,264,0.141001435200148
mgus2,hal3,264,0.141046338243193
rotterdam,Null model,2920,0.121669141384828
rotterdam,cox_bmk,2920,0.104017838901286
rotterdam,rfsrc_bmk,2920,0.0988474638242379
rotterdam,psl,2920,0.103775084538969
rotterdam,discrete_psl,2920,0.0997718915279368
rotterdam,glm,2920,0.104017440271793
rotterdam,gam,2920,0.0997718915279368
rotterdam,xgb1,2920,0.101769422861931
rotterdam,xgb2,2920,0.101010166003038
rotterdam,xgb3,2920,0.284347545948406
rotterdam,hal2,2920,0.100743816742663
rotterdam,hal3,2920,0.100887944226555
pbc,Null model,4380,0.168511784293685
pbc,cox_bmk,4380,0.128493300722647
pbc,rfsrc_bmk,4380,0.127658708103204
pbc,psl,4380,0.120857340309578
pbc,discrete_psl,4380,0.114898963295643
pbc,glm,4380,0.128591980123072
pbc,gam,4380,0.123379273311824
pbc,xgb1,4380,0.125373697413429
pbc,xgb2,4380,0.127901345268201
pbc,xgb3,4380,0.311279915766512
pbc,hal2,4380,0.13571852716478
pbc,hal3,4380,0.132283593306131
